,total_area,pop_density_avail,prop_semi_sls,median_income,gdp_hh,prop_flat_sls,prop_hh_1_person,avail_land,year,rpi,num_wait_lst,ratio_new_exist_prices,prop_det_sls,aff_rent,aff_sh_own,population,avg_hh_size,num_hh_2dp,num_hh_oth,int_rate_max,dwell_stock,prop_terr_sls,net_add_to_hh,g_belt_percent,num_hh_1dp,num_hh_1m,wait_list_to_hh,pop_density,int_rate_min,num_hh_>2dp,net_additions,all_sls_price
2719,98530,0.6802192225718056,0.1665565102445472,20004,0.0382100788420703,0.0727032385988103,0.3116379670081354,1.0,2016,263.1,1688.0,1.1946153846153846,0.417713152676801,8.0,0.0,67022,2.270315517866345,2645.617247,13563.39527,0.25,3.0,0.3430270984798413,0.0136512958983637,0.0,3100.455993,3968.758296,0.0571796215296229,0.6802192225718056,0.25,1011.671796,403,199.95
2720,29210,3.290448476549127,0.2803445575567737,25167,0.0391799335638974,0.2051683633516053,0.3049517617454596,1.0,2009,213.7,1724.0,1.367625,0.312451057165231,0.0,0.0,96114,2.32023421722763,4397.331,17963.4127,1.5,3277.0,0.2020360219263899,0.0078456428886424,0.0,4727.14952,4996.874967,0.0416181179692909,3.290448476549127,0.5,1703.970068,325,208.5
2721,67380,1.855847432472544,0.2098765432098765,22149,0.0400952716600255,0.1476337448559671,0.3055285509274312,1.0,2012,242.7,4062.0,1.0207253886010363,0.3724279835390947,5.0,0.0,125047,2.29885072685521,5363.121292,24462.52278,0.5,0.0,0.2700617283950617,0.0062872915670466,0.0,5984.715193,6558.158168,0.074675375278782,1.855847432472544,0.5,1965.721743,342,194.0
2722,19840,43.891666666666666,0.2135922330097087,33381,0.1145141275864615,0.2834204630321135,0.2892813219429295,0.1693548387096774,2014,256.0,667.0,1.2054794520547945,0.2404779686333084,12.0,0.0,147476,2.482081934147708,7571.295819,24412.00418,0.5,31.0,0.2625093353248693,0.0060589485495482,0.8306451612903226,7486.659996,7706.976704,0.0112258852293018,7.433266129032258,0.5,2758.278448,360,375.0
2723,3900,24.256153846153847,0.2760378732702112,36979,0.1743489747234617,0.29278951201748,0.2686339831970584,1.0,2019,288.8,1438.0,1.0133333333333334,0.155863073561544,180.0,65.0,94599,2.513830004551861,4891.686925,15084.63753,0.75,0.0,0.2753095411507647,0.0080517816401781,0.0,5991.419317,5048.059838,0.0382127458698884,24.256153846153847,0.75,1554.600107,303,300.0
2724,3900,23.74076923076923,0.2694864048338368,33008,0.0776483588290403,0.2930513595166163,0.2571319025473677,1.0,2008,214.8,3102.0,0.8650772946859904,0.1341389728096676,0.0,0.0,92589,2.611472537458051,4850.824121,14429.69325,5.25,0.0,0.3033232628398791,0.0015794798744737,0.0,5184.097289,4300.9873,0.0874919030467428,23.74076923076923,2.0,1873.557875,56,200.0
2725,56690,2.441251133272892,0.3340010015022533,20942,0.0383950850378713,0.1126690035052578,0.3226476280862347,0.9728347151173048,2003,181.3,1531.0,1.4072368421052632,0.1664997496244366,0.0,0.0,134635,2.406574615490602,5820.00305,22755.28982,3.75,4107.0,0.3868302453680521,0.0083654095892568,0.0271652848826953,6783.26176,7722.733157,0.0273663292332314,2.374933850767331,3.5,2535.69391,468,79.95
2726,13980,38.86918518518519,0.3026688534367079,17029,0.0354252903043745,0.0483077381839868,0.3087281179319728,0.482832618025751,2002,176.2,9371.0,2.314,0.1848814671239004,0.0,0.0,262367,2.429280486484012,13119.75434,40824.96029,4.0,21445.0,0.4641419412554048,0.0098331569010051,0.5171673819742489,14512.01815,14993.2673,0.0867669616942743,18.7673104434907,4.0,6201.969973,1062,55.0
2727,116450,0.7099621798177755,0.27181385510312,20886,0.072759815081451,0.1099947117927022,0.2983887066558647,0.9990553885787892,2006,198.1,3944.0,1.0318825910931173,0.3601269169751454,0.0,0.0,82597,2.3266521278678343,3790.551551,15944.10771,5.0,6.0,0.2580645161290322,0.0054365638059311,0.0009446114212108,3682.38262,4093.376182,0.1110974489667994,0.7092915414340919,4.75,1490.415187,193,247.0
2728,56690,2.615521305530372,0.3735537190082644,26977,0.0543718747153395,0.1396694214876033,0.3366784786767578,0.9728347151173048,2018,281.6,1753.0,1.6348333333333334,0.1995867768595041,64.0,45.0,144246,2.420656000058292,5166.52299,24982.13477,0.75,3717.0,0.2871900826446281,0.0087766945913958,0.0271652848826953,7318.594554,9518.972483,0.0294178692518488,2.54446992414888,0.75,2059.832968,523,154.375
2729,40860,27.580126182965294,0.3085106382978723,24790,0.0477901411532802,0.0710310965630114,0.3099238733585575,0.3879099363680861,2017,272.5,8299.0,1.6804765342960288,0.2507364975450082,64.0,0.0,437145,2.4491466886812074,19160.76555,70377.83833,0.5,22800.0,0.369721767594108,0.0055073515537719,0.6120900636319139,24031.86416,28154.98494,0.0464959415511222,10.698604992657856,0.5,9600.320329,983,141.0
2730,30880,4.730343264248705,0.2882775119617224,23337,0.0488002709623313,0.2208931419457735,0.2983717111183563,1.0,2008,214.8,3758.0,0.926829268292683,0.2619617224880383,0.0,0.0,146073,2.4657218887169243,6204.968277,25791.91846,5.25,5278.0,0.2288676236044657,0.0205092802557013,0.0,6746.022381,7072.710388,0.0634352882312145,4.730343264248705,2.0,2822.585148,1215,200.3
2731,7670,14.155932203389831,0.4313137372525495,21047,0.0390259893743492,0.0371925614877024,0.3009937978057889,1.0,2017,272.5,5324.0,1.15996,0.3371325734853029,48.0,1.0,108576,2.3281790232468937,4430.956014,19765.40057,0.5,6546.0,0.1943611277744451,0.0051033986104918,0.0,6714.685,6726.027063,0.1141617403456239,14.155932203389831,0.5,1687.524347,238,127.0
2732,35110,16.465733590733592,0.2461250668091929,22192,0.0479110880205254,0.2044361304115446,0.3092167836156292,0.2950726288806607,2004,186.7,3289.0,0.9247311827956988,0.2028327097808658,0.0,0.0,170585,2.3953437719757718,7847.370215,30728.35343,4.75,0.0,0.3466060929983965,0.004226622946711,0.7049273711193392,7379.565258,9232.055562,0.0461839298064209,4.858587297066363,4.0,3239.00895,301,185.0
2733,10320,40.73931297709924,0.2780367425281053,19491,0.0339251669086462,0.0671785028790787,0.3182817713975988,0.5077519379844961,2005,192.0,5899.0,1.453396524486572,0.0844529750479846,0.0,0.0,213474,2.36362306809933,10156.19087,33960.83827,4.5,2689.0,0.5703317795448314,0.0051485648213187,0.4922480620155038,13000.64022,13521.404,0.0653148040450731,20.68546511627907,4.5,4452.688064,465,100.0
2734,52590,1.5591177029853585,0.3110814419225634,22013,0.0470193381195802,0.0627503337783711,0.2698034388152266,1.0,2009,213.7,2021.0,1.103395061728395,0.4419225634178905,0.0,0.0,81994,2.420152925158105,3848.099001,15652.50156,1.5,0.0,0.1842456608811749,0.0100650309471292,0.0,3740.596144,3874.223715,0.0596522801881177,1.5591177029853585,0.5,1497.627115,341,163.5
2735,7330,43.61637107776262,0.3538899430740038,23968,0.0550061367883916,0.1238140417457305,0.3057605403741117,1.0,2009,213.7,6655.0,1.1059322033898304,0.1247628083491461,0.0,0.0,319708,2.682822575185829,14119.70236,42977.04232,1.5,22371.0,0.3975332068311195,0.0113201035129733,0.0,16679.81171,18281.64975,0.0558452845654837,43.61637107776262,0.5,8954.933615,1349,120.0
2736,37340,3.371451526513123,0.2727532913566113,22646,0.046689756743499,0.0815684029765312,0.2680280286006403,1.0,2004,186.7,3328.0,1.3218518518518518,0.2263880938752146,0.0,0.0,125890,2.4937520052775106,6223.773153,21237.88039,4.75,16.0,0.4192902117916428,0.0129946883426963,0.0,6515.640809,5833.346661,0.0659242725678255,3.371451526513123,4.0,2974.235422,656,138.125
2737,49710,9.419797525309336,0.3239459029435163,25000,0.0726884402147798,0.0835322195704057,0.2542334960042438,0.5365117682558841,2004,186.7,4961.0,1.25503355704698,0.2634844868735083,0.0,0.0,251226,2.4804708070358976,13811.41017,44642.40933,4.75,8029.0,0.3290373906125696,0.0084121911251008,0.4634882317441158,12085.66079,11361.44129,0.0489822537225648,5.053832226916113,4.0,4992.928756,852,150.0
2738,62760,1.7853569152326323,0.2436177972283005,22612,0.0537111045106131,0.1046681254558716,0.245940766732168,1.0,2004,186.7,2092.0,1.2628947368421053,0.3811086797957695,0.0,0.0,112049,2.489977471787213,6095.132389,20238.03709,4.75,0.0,0.2706053975200583,0.0113999985990668,0.0,5272.963668,4486.73051,0.0464888831759216,1.7853569152326323,4.0,2326.536518,513,195.0
2739,34220,7.496961196820944,0.2590873936581593,20560,0.0566619600033687,0.2294405774684197,0.2761129309305971,0.625073056691993,2003,181.3,5088.0,1.226963190184049,0.299819541118845,0.0,0.0,160360,2.463750516849297,8331.411003,28027.84213,3.75,0.0,0.2116524877545759,0.0152102332980843,0.374926943308007,7475.16566,7797.547119,0.0781713808289425,4.68614845119813,3.5,3281.768346,990,167.5
2740,319730,1.0649053280493177,0.2796021767686245,24829,0.0497964009732037,0.0842559579658472,0.3003240939511067,0.9233728458386764,2016,263.1,6436.0,1.2233936170212767,0.4250328391818352,114.0,17.0,314392,2.3210659888461778,13235.7722,61231.81375,0.25,4099.0,0.211109026083693,0.0103505639976918,0.0766271541613236,15201.43226,18448.33195,0.047515142574283,0.9833046633096676,0.25,5103.172023,1402,194.0
2741,33230,5.166385795967499,0.3025454545454545,24761,0.0494822791144448,0.1883636363636363,0.2929940941048181,1.0,2010,223.6,3196.0,0.8857142857142857,0.2814545454545454,0.0,0.0,171679,2.42855008464516,8233.177975,29512.62461,0.5,6303.0,0.2276363636363636,0.0067617293929973,0.0,9111.830938,9346.29702,0.0452102241423,5.166385795967499,0.5,3122.009759,478,174.0
2742,16120,44.42794612794613,0.2571948998178506,25741,0.0591539557828804,0.2353369763205828,0.2736339618542369,0.18424317617866,2005,192.0,1515.0,1.2517558139534883,0.2298724954462659,0.0,0.0,131951,2.4921531352193016,7345.639649,21824.93295,4.5,5385.0,0.2775956284153005,0.0124653929810667,0.81575682382134,6295.556037,6314.800883,0.0286137429792668,8.185545905707196,4.5,2992.473184,660,267.0
2743,13700,16.795486935866982,0.2222775978071268,20748,0.0421728483880871,0.0301520059805631,0.300669033862385,0.6145985401459854,2004,186.7,4528.0,1.7665833333333334,0.1599800647894343,0.0,0.0,141418,2.5930434231941315,6691.22926,18827.68543,4.75,122.0,0.5875903314228756,0.0117167174434728,0.3854014598540146,7750.805839,7839.683445,0.0830255032614167,10.322481751824816,4.0,4870.013533,639,66.0
2744,9630,31.66318407960199,0.2573781743308167,30339,0.0667100994967179,0.2330130404941661,0.2837409050404692,0.4174454828660436,2005,192.0,2054.0,1.342017543859649,0.3122855181880576,0.0,0.0,127286,2.453412806859068,7356.200159,20741.44484,4.5,0.0,0.1973232669869595,0.0085580133419655,0.5825545171339563,6454.477406,5855.617307,0.0395904491090027,13.217653167185878,4.5,2608.258801,444,290.0
